0, 47.000000
1, 44.000000
2, 37.000000
3, 43.000000
4, 44.000000
5, 49.000000
6, 51.000000
7, 55.000000
8, 60.000000
9, 59.000000
10, 61.000000
11, 60.000000
12, 68.000000
13, 64.000000
14, 64.000000
15, 62.000000
16, 73.000000
17, 74.000000
18, 73.000000
19, 71.000000
20, 73.000000
21, 72.000000
22, 72.000000
23, 70.000000
24, 67.000000
25, 72.000000
26, 73.000000
27, 73.000000
28, 70.000000
29, 72.000000
30, 69.000000
31, 71.000000
32, 69.000000
33, 79.000000
34, 83.000000
35, 76.000000
36, 79.000000
37, 78.000000
38, 74.000000
39, 73.000000
40, 73.000000
41, 73.000000
42, 78.000000
43, 79.000000
44, 76.000000
45, 71.000000
46, 67.000000
47, 66.000000
48, 67.000000
49, 68.000000
50, 71.000000
51, 72.000000
52, 73.000000
53, 74.000000
54, 71.000000
55, 78.000000
56, 80.000000
57, 80.000000
58, 75.000000
59, 81.000000
60, 85.000000
61, 80.000000
62, 77.000000
63, 79.000000
64, 76.000000
65, 78.000000
66, 77.000000
67, 76.000000
68, 76.000000
69, 74.000000
70, 76.000000
71, 75.000000
72, 74.000000
73, 74.000000
74, 72.000000
75, 71.000000
76, 74.000000
77, 80.000000
78, 82.000000
79, 81.000000
80, 79.000000
81, 81.000000
82, 86.000000
83, 89.000000
84, 88.000000
85, 85.000000
86, 88.000000
87, 84.000000
88, 83.000000
89, 77.000000
90, 81.000000
91, 87.000000
92, 90.000000
93, 90.000000
94, 84.000000
95, 84.000000
96, 88.000000
97, 91.000000
